"","Genus_spp","CE07","CN01","WP58","WP55","WP37","WP29","WP3","WP34","WP33","WP5","WP30","WP67","CE03.WP15","CE04","WP20","WP1","WP4","WP69","WP73","WP40","WP43","WP60","WP31","CE05","CE02","WP59","WP42","WP27","WP7","WP57","WP56","WP39","CE09","CE1","WP10","CE10","WP12","WP65","CE01","CE08","sum"
"11","Antennaria_umbrinella",0,0,0,0.0353677651315323,0,0,0.5,0,0,0,0,0,0,0,0,0,0.00110141829129339,0,0,0,0,0,0,0,0,0,0,0.000982437920320342,0,0.00318309886183791,0,0,0,0,0,0,0,0,0,0,0.540634720204984
"12","Arabis_drummondii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00110141829129339,0,0,0.00110141829129339
"13","Arnica_latifolia",0,0,0,0.000795774715459477,0,0,0,3.5,0,0,0.5,0,0.0127323954473516,0,0,0,0,0,0.0127323954473516,0.000795774715459477,0,1,8,0.5,0,0,0.00497359197162173,0,0,0,0,0,0,0,0,0,0,0,0,2,15.5320299322972
"14","Arnica_ovata",0,0,0,0,0,0,0,0,0.000509295817894065,0,0,0,0,0,0,0,0,0,0,0,0.00141471060526129,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00192400642316
"15","Asplenium_viride",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00392975168128137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0.016662147128633
"16","Athyrium_alpestre",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0,0,0,0,0,0,0,0,0,0.0353677651315323,0,0,0,0,0,0,0,0,0,0,0,0.0795774715459477,0,0,0,0.0127323954473516,0.140410027572183
"17","Boechera_calderi",0,0,0,0,0,0,0,0,0.0795774715459477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795774715459477
"18","Botrychium_spp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","Carex_",0,0,0.0795774715459477,0.0353677651315323,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.61494523667748
"20","Carex_aquatalis",0,0,0,0.5,0.00110141829129339,0,0,0,0,4,0.5,0.0795774715459477,4.5,0,1.5,1.5,0,0,0,0,0,1.5,0,0,0,0.000509295817894065,1,0,0,0,0,3,4.5,0.00318309886183791,1.5,0,0,0,7,0.5,31.584371284517
