"","Genus","CE07","CN01","WP58","WP55","WP37","WP29","WP3","WP34","WP33","WP5","WP30","WP67","CE03.WP15","CE04","WP20","WP1","WP4","WP69","WP73","WP40","WP43","WP60","WP31","CE05","CE02","WP59","WP42","WP27","WP7","WP57","WP56","WP39","CE09","CE1","WP10","CE10","WP12","WP65","CE01","CE08","sum"
"80","Potentilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00649612012619981,0,0,0,0,0,0,0,0,0,0,0.00141471060526129,0,0,0,0,1.5,0,1.50791083073146
"81","Pyrola",0,0,0.0127323954473516,0,2,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51273239544735
"82","Ranunculus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263066021639496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263066021639496
"83","Rhododendron",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.00884194128288308,0,0,0,0,0,0.00141471060526129,0,0,0.00392975168128137,0,0,0,0,0,0,0,0,0,0,0,1.51418640356943
"84","Ribes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127323954473516,0,0,0,0,0,0,0,0,0,0.0353677651315323,0,0,0,0,2,0,0,0,0,0,0,2.04810016057888
"85","Salix",0,0.0192285155735514,0.0198452459904709,6,15,0.0254647908947032,11.500259844805,11,0.0254647908947032,8,4.5,8,7.00072179112513,0.0127323954473516,6.5,1.00079577471546,6.00098243792032,0.5,0,0.000795774715459477,0.00353677651315323,1.5,0.0795774715459477,0.00636619772367582,0,0,8,2.50221048532072,4,0.581201501577498,5.5,3,0.5,0,8,0.0509295817894065,2.5,2.50318309886184,0.00318309886183791,1.5,125.336479574276
"86","Saxifraga",0,4.5,0.000509295817894065,0.000657665054098741,0.00141471060526129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.000353677651315323,0,0.000509295817894065,0.00110141829129339,0,0,0.318309886183791,0,5,0,0,0.00318309886183791,0,0,0,0,0,0,1.5,16.3260390482834
"87","Sedum",0,0.0127323954473516,0.00649612012619981,0,0,3,0,0.000157190067251255,0,0,0.00318309886183791,0,0,3,0,0,0,1.5,0,0,2,0.000509295817894065,6,0.5,0,0,0,0,0,3,1.5,0.000795774715459477,0.000310849498226358,0,0,0,0,0,0,0.0353677651315323,20.5595524896658
"88","Senecio",0.00263066021639496,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0.0353677651315323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318309886183791,0,0,0,0,2.04118152420977
"89","Sibbaldia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
"90","Silene",0,0,0.000509295817894065,0,0,0,0,0,0,0,0,0,0,0.00141471060526129,0,0,0,0,0,0,0,0,0,0.00392975168128137,0,0,0,0,0,0.000795774715459477,0,0,0,0,0,0,0,0,0,0,0.0066495328198962
"91","Solidago",0,0,0.0198943678864869,0,0,0,0,0,0,0,0.141471060526129,0,0,0.00141471060526129,0,0,0,0,0,0,0.00141471060526129,0.5,0,0,0,0,0.00318309886183791,0,0,0,0,0,0,0.000982437920320342,0,0,0,0,0,0.0127323954473516,0.681092781852648
"92","Sorbus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000795774715459477,0,0.00497359197162173,0,0,0,0,0,0,0.00576936668708121
"93","Stellaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000310849498226358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000310849498226358
"94","Symphyotrichum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353677651315323,0,0,0,0.00884194128288308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4.04420970641442
"95","Triantha",0,0,0.000509295817894065,0,0,0,0,0,0.000519689610095984,12,0,8,2.5,0,0,0,7.5,0,0,0,0,1.5,0,0,0,0.00188349045079166,0.0198943678864869,0,0,0,0.0353677651315323,3,0,0,0.00884194128288308,0,0,0,0,0,34.5670165501797
"96","Tsuga",0,0,0,0.00649612012619981,0.0795774715459477,0.000795774715459477,0.0127323954473516,0.5,0,0,0,0,1.5,0,0,0.0795774715459477,0,0.5,5,2,0.00318309886183791,0.000509295817894065,0.00141471060526129,0.5,0,0.000881744837074213,0.00649612012619981,0.00884194128288308,1,3,0.0127323954473516,0.0353677651315323,0.00124339799290543,0,0,0,0.00221048532072077,0.000982437920320342,0,0,14.2530426267249
"97","Unknown",0,4.5,3.00050929581789,0,0,0,0.0127323954473516,1,9,0,0,0,0,0.0481001605788839,0.00318309886183791,0,0,0.0127323954473516,3.00282942121052,0.0772316503892644,0.00141471060526129,4.00079577471546,2.5,NA,6,0,0.00318309886183791,0.555262133018019,0.0822081317623427,0,0.080992182151209,0,0,0,0,0,0,0,1,0,NA
"98","Vaccinium",0,0,0.0198943678864869,0,0,0,0,0,0,0,0,0,0,0,0.000795774715459477,0,0,0.0795774715459477,1.50282942121052,0.0353677651315323,0.000353677651315323,0,0,0.000657665054098741,0,0,0,0,0.583507223227229,0.00497359197162173,0.00649612012619981,0,0,0,0,0,0.00141471060526129,0,0,0,2.23586778912567
"99","Valeriana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000259844805047992,0,0,0,0,0,0,0.000881744837074213,0,0,0,0,0.00392975168128137,0,0,0,0,5.5,0.5,7.0050713413234
"100","Veronica",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0.0127323954473516,0,0,4,1,3,0,0,0,0,0,0,0,3.5,5.5,0,1,0,0,0,0,0,26.0127323954474
