Type	Family	EnglishName	Genus	Species	CE07	CN01	WP58	WP55	WP37	WP29	WP3	WP34	WP33	WP5	WP30	WP67	CE03/WP15	CE04	WP20	WP1	WP4	WP69	WP73	WP40	WP43	WP60	WP31	CE05	CE02	WP59	WP42	WP27	WP7	WP57	WP56	WP39	CE09	CE1	WP10	CE10	WP12	WP65	CE01	CE08
forb	Onagraceae	Fireweed	Chamoeurionanf	angustifolium									"4,3,4,4"																															
forb	Asteraceae	ediblethistle	Cirsium	edule																						25m																		
forb	Asteraceae	ediblethistle	Cirsium	edulevar.macounii									25m																															
forb	Asteraceae	dwarf alpine hawksbeard	Crepis	nana														5m																										
crust	CRUST																"4,4,4,4"																											
fern	Dryopteridaceae	marginalshieldfern	Dryopteris	marginalis																					39m																			
floweringplant	Lycopodiaceae	alpineclubmoss	Diaphasiastrum	alpinum																		6m																						
floweringplant	Lycopodiaceae	alpineclubmoss	Diphasiastrum	spp																					30m																			
forb	Rosaceae	whitemountain-avens	Dryas	drummondii		27m																																						
gramminoid	Poaceae	slenderwheatgrass	Elymus	trachycaulus															"1,0,0,1"	8m																								
forb	Onagraceae	alpinewillowherb	Epilobium	anagallidifolium													5m	"1,2,0,1"																										
forb	Onagraceae	alpinewillowherb	Epilobium	anagallidifolium																						"2,0,4,4"																		
forb	Onagraceae	alpinewillowherb	Epilobium	anagallidifolium																																18m	"0,1,0,1"		8m					
forb	Onagraceae	alpinewillowherb	Epilobium	anagallidifolium											"2,2,1,1"																													
forb	Onagraceae	alpinewillowherb	Epilobium	anagallidifolium									25m																															
forb	Onagraceae	alpinewillowherb	Epilobium	anagallidifolium																								"4,2,2,4"																
forb	Asteraceae	BitterFleabane	Erigeron	acris																										18m														
forb	Asteraceae	subalpinefleabane	Erigeron	glacialis											"0,0,0,1"																													
forb	Asteraceae	subalpinefleabane	Erigeron	glacialis																					20m																			
forb	Asteraceae	subalpinefleabane	Erigeron	glacialis																											"0,2,0,0"													
forb	Asteraceae	subalpinefleabane	Erigeron	glacialis																													19m											
forb	Asteraceae	subalpinefleabane	Erigeron	glacialis																																"4,0,1,1"		9m	"2,1,2,2"					
