Type	Family	EnglishName	Genus	Species	CE07	CN01	WP58	WP55	WP37	WP29	WP3	WP34	WP33	WP5	WP30	WP67	CE03/WP15	CE04	WP20	WP1	WP4	WP69	WP73	WP40	WP43	WP60	WP31	CE05	CE02	WP59	WP42	WP27	WP7	WP57	WP56	WP39	CE09	CE1	WP10	CE10	WP12	WP65	CE01	CE08																																								
evergreen	Ericaceae	white-floweredrhododendron	Rhododendron	albiflorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9m	0	0	0	0	0	0	0	0	0	0	0																																								
evergreen	Ericaceae	white-floweredrhododendron	Rhododendron	albiflorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0,1,1,1"	6m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
evergreen	Ericaceae	Blackhuckleberry	Vaccinium	membranaceum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2m	"0,0,2,1"	3m	30m	0	0	0	0	0	0	0	2m	8m	7m	0	0	0	0	0	15m	0	0	0																																								
evergreen	Ericaceae	Oval-leavedblueberry	Vaccinium	ovalifolium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0,0,0,1"	0	0	0	0	0	0	0	0	0	0	0																																								
evergreen	Ericaceae	redhuckleberry	Vaccinium	parvifolium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9m	0	0	0	0	0	0	0	0	0	0	0																																								
evergreen	Ericaceae	redhuckleberry	Vaccinium	parvifolium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
evergreen	Ericaceae	spp	Vaccinium		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
evergreen	Ericaceae	northernbilberry	Vaccinium	uliginosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
evergreen	Ericaceae	spp	Vaccinium		0	0	0	0	0	0	0	0	0	0	0	0	0	0	20m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
evergreen	Ericaceae	spp1	Vaccinium		0	0	4m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
fern	Pteridaceae	Maidenhairfern	Adiantum		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
fern	Aspleniaceae	greenspleenwortfern	Asplenium	viride	0	0	0	0	0	0	0	0	0	0	0	0	5m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
fern	Aspleniaceae	greenspleenwortfern	Asplenium	viride	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
fern	Aspleniaceae	greenspleenwortfern	Asplenium	viride	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5m																																								
fern	Athyriaceae	Alpineladyfern	Athyrium	alpestre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19m	0	0	0	0	0	0	0	0																																								
fern	Athyriaceae	Alpineladyfern	Athyrium	alpestre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
fern	Athyriaceae	Alpineladyfern	Athyrium	alpestre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
fern	Athyriaceae	Alpineladyfern	Athyrium	alpestre	0	0	0	0	0	0	0	0	0	0	0	0	0	5m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
fern	Athyriaceae	Alpineladyfern	Athyrium	alpestre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2m	0	0	0	0																																								
fern	Athyriaceae	Alpineladyfern	Athyrium	alpestre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5m																																								
fern	Athyriaceae	Alpineladyfern	Athyrium	alpestre	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
fern	Athyriaceae	Alpineladyfern	Athyrium	distentifolium	0	20m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
fern	Athyriaceae	Alpineladyfern	Athyrium	distentifolium	0	0	0	0	0	0	0	0	0	0	4m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
fern	Ophioglossaceae	moonworts	Botrychium	spp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
fern	Pteridaceae	Americanparsleyfern	Cryptogramma	acrostichoides	0	0	2m	12m	0	0	0	20m	0	0	"0,0,1,0"	0	0	10m	0	0	0	0	0	0	"3,2,1,4"	5m	10m	"1,1,1,3"	0	0	0	18m	0	1m	0	20m	"1,1,1,3"	0	0	0	0	0	0	0																																								
fern	Pteridaceae	Americanparsleyfern	Cryptogramma	acrostichoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0,0,0,1"																																								
fern	Dryopteridaceae	marginalshieldfern	Dryopteris	marginalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
fern	Dryopteridaceae	hollyfern	Polystichium		0	0	0	0	0	0	0	0	0	0	0	0	0	20m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
fern	Dryopteridaceae	Braunshollyfern	Polystichum	braunii	0	0	0	0	0	0	0	0	0	0	6m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
fern	Dryopteridaceae	northernhollyfern	Polystichum	lonchitis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2m	5m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
fern	Dryopteridaceae	northernhollyfern	Polystichum	lonchitis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0,0,0,1"	0	0	0	0	0	0	0																																								
fern	Dryopteridaceae	hollyfern	Polystichum		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
fern	FERN	Fernspp	Fern		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
fern	FERN	Fernspp	Fern		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
floweringplant	Lycopodiaceae	alpineclubmoss	Diaphasiastrum	alpinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
floweringplant	Lycopodiaceae	alpineclubmoss	Diaphasiastrum	alpinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
floweringplant	Lycopodiaceae	alpineclubmoss	Diaphasiastrum	alpinum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19m	0	0	0	0	0	0	0	0	0	0	0																																								
floweringplant	Ericaceae	alpinelaurel	Kalmia	microphylla	0	0	0	0	0	0	0	0	0	0	0	0	"4,0,0,4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	Yarrow	Achillea	millefolium	0	0	7m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	Yarrow	Achillea	millefolium	0	0	0	0	0	0	0	0	0	0	"1,2,1,1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	Yarrow	Achillea	millefolium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,0,0,0"	0	3m	0	0	0	0	0																																								
forb	Asteraceae	Yarrow	Achillea	millefolium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0,0,0,1"																																								
forb	Asteraceae	Yarrow	Achillea	millefolium	0	0	0	0	0	0	0	0	0	0	0	0	0	20m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	Yarrow	Achillea	millefolium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,2,3,3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	orangemountaindandylion	Agoseris	aurantiaca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0,1,1,0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	orangemountaindandylion	Agoseris	aurantiaca	0	0	0	0	0	0	0	0	"0,2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	orangemountaindandylion	Agoseris	aurantiaca	0	0	0	0	0	0	0	0	0	0	0	0	10m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	orangemountaindandylion	Agoseris	aurantiaca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	orangemountaindandylion	Agoseris	aurantiaca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"2,0,0,1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	orangemountaindandylion	Agoseris	aurantiaca	0	0	0	0	0	0	0	0	0	0	0	0	0	20m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	orangemountaindandylion	Agoseris	aurantiaca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea	0	3m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea	0	0	"4,2,2,2,"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea	0	0	0	4m	5m	25m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea	0	0	0	0	0	0	0	0	"0,0,1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea	0	0	0	0	0	0	0	0	0	0	"0,3,2,1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3m	"2,0,0,2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18m	0	10m	4m	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea	0	0	0	0	0	0	0	0	0	0	0	0	0	5m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"0,0,0,2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																								
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20m	"1,0,0,0"	0	1.5m	0	0	0	0	0																																								
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12m	0	18m	0	0																																								
forb	Asteraceae	Pearlyeverlasting	Anaphalis	margaritacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4m																																								
